ant	n. 蚂蚁
humble	adj. 卑下的, 谦逊的, 粗陋的 vt. 使...卑下, 贬低
awesome	adj. 令人惊叹的，难得吓人的，很好的
compulsory	adj. 被强制的,强迫的,义务的
psychiatric	adj. 精神病的，治疗精神病的
presume	vt. 姑且认定，假定，推测，认为是理所当然 vi. 假设，越权行事
commentary	n. 实况报道，现场解说,评论,注释，批评
fling	n. 投掷, 一时的行乐, 漫不经心的一段(尝试或感情) vt. 投, 粗暴地推向..., 猛冲, 激动地说, 全身心投入 vi. 急冲, (动物)猛跳
fluctuation	n. 波动,起伏
susceptible	n. 易受影响者,易受感染者 adj. 易受影响的,易感动的,容许
lever	n. 杠杆,似杠杆之工具 vt. 撬开,使用杠杆
liable	adj. 有义务的,应负责的,有...倾向
satisfactory	adj. 令人满意的
trivial	adj. 琐碎的, 不重要的
archaeological	adj.考古学的,考古学上的
marrow	n. 骨髓, 精华, 活力 n. 西葫芦
found	vt. 创立，建立；创办 v. 找到（find的过去分词）
undergraduate	n. 大学生 adj. 大学部的
immense	adj. 巨大的,广大的,非常好的
toxic	adj. 有毒的 n. 有毒物质
unlimited	adj. 无限的, 不受控制的, 无条件的
sexuality	n. 性别, 性方面的事情, 性欲
neural	adj. 神经的
triple	n. 三倍之数,三个一组 adj. 三倍的
scrape	n. 刮掉,擦掉,刮擦声 vt.& vi. 刮掉,擦掉
ideally	adv. 理想地, 完美地，观念上地
drown	vt. 淹死,沉浸于, vi. 淹死
conceive	vt. &vi. 构思,以为,怀孕
generalize	v. 使一般化, 概括，归纳
brace	n. 支柱,曲柄,大括号 vt. 绷紧,顶住,（为困难或坏事）做准备,使更为坚固 vi. 振作精神,做好准备
succession	n. 连续, 继承权, 继位
outsider	n. 外行, 旁观者, 局外人
periodic	adj. 周期的, 定期的，间歇的，完句的
membrane	n. 薄膜,膜皮,羊皮纸
trajectory	n. 轨道,弹道,轨线
broadly	adv. 宽广地, 明白地, 概括地 adv. 无礼貌地
earthquake	n. 地震
furnish	vt. 布置,提供,装备
sunset	n. 日落，衰落时期（尤指人的晚年）
continuity	n. 连续性
locally	adv. 地方性地, 局部性地, 位置上
pillar	n. 柱子,支柱,核心(人物) vt. 用柱支持
hunter	n. 猎人，猎犬，猎马，搜寻者 Hunter: 亨特（姓氏）
wedge	n. 楔子,楔形物 vt. 楔住,嵌,挤进 vi. 被卡住
conquer	vt. 征服, 战胜, 克服 vi. 得胜
gauge	n. 测量标准,轨距,口径,直径,测量仪器 vt. 测量,估计,判断
minimal	adj. 最低限度的,最小的
banana	n. 香蕉
vase	n. 花瓶
rationality	n. 理性，合理性 （复数）rationalities:合理的意见（信仰、行为等）
invert	v. 使反向;使倒置
cling	n. 紧抓,紧贴 vi. 粘紧,附着,紧贴
jewelry	n. 珠宝, 珠宝类
hostile	adj. 怀敌意的,敌对的
distract	vt. 转移,分心
emergence	n. 出现
acute	adj.尖的，锐的； 敏锐的，敏感的； 严重的，剧烈的； [医]急性的, 激烈的, 尖锐的
herb	n. 药草, 香草
overhead	n. 经常开支,普通用费 adj. 在头上的,高架的 adv. 在头顶上,在空中,在高处 [计算机] 总开销
encode	vt. 编码, 译码
prospective	adj. 未来的, 预期的
philosophical	adj. 哲学的, 冷静的, 哲学上的
prototype	n. 原型,雏形
cooperate	vi. 合作,协力
proximity	n. 接近,亲近
coefficient	n. 系数
nonetheless	adv. 尽管如此(仍然) conj. 尽管如此(仍然)
orbit	n.势力范围, 眼眶, 轨迹 vt. 绕轨道而行, 进入轨道 vi. 盘旋
costly	adj. 昂贵的，代价高的
incorrect	adj. 不正确的, 错误的
contour	n. 轮廓(等高线,周线,电路,概要) vt. 画轮廓(画等高线) adj. 显示轮廓的
railroad	n. 铁路 =railway（英） vt. 由铁道运输，使（议案等）草草通过 vi. 在铁路公司工作
bodily	adj. 身体的，肉体的，具体的 adv. 全部地，活生生地，亲身地
contradictory	adj. 反驳的,反对的,抗辩的 n. 正反对,矛盾对立
glimpse	n. 一瞥,一闪 vt. &vi. 一瞥, 闪烁
globe	n. 地球, 地球仪, 球体
critique	n. 批评,批评法,评论
illusion	n. 幻觉,错觉,错误的信仰(或观念)
phenomenal	adj. 现象的, 可感知的, 非凡的
skeleton	n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑 adj. 骨骼的
industrialize	v. (使)工业化 =industrialise(英)
equilibrium	n. 平衡,均衡
complement	n. 补语；余角；补足物；补体 vt. 补足，补助
pathway	n. 路, 径
infinite	adj. 无限的,无穷的 n. 无限
utterly	adv. 完全, 全然, 绝对
persist	vi. 坚持,固执,持续
weaken	v. 使...弱, 变弱, 弄淡
repay	v. 偿还,报答，还钱给
reproduction	n. 再现, 复制, 生殖，幼树
consolidate	v. 巩固,联合,统一 [计算机] 使固定
incidence	n. 发生(率),入射
discriminate	vt. 区分，区别对待 vi. 辨别，差别对待
induction	n. 就职,感应,归纳法,序言
wagon	n. 四轮马车,货车 vt.& vi. 用四轮马车运
overtime	n. 加班时间(加班加点费) adv. 在规定时间之外(超出时间地)
infinity	n. (时间,空间等)无限,无穷，[数]无穷大
syndrome	n. 综合征，综合症状；（不良情况的）典型表现，典型行为
presidency	n. 总统（总裁、主席等）的职位（或任期）
calculator	n. 计算器
instrumental	adj. 仪器的,器具的,可做为手段的
mechanical	adj. 机械的,力学的,呆板的 n.(供制版用的)样书, 版面设计
inequality	n. 不平等，不平均，差异，多变性，&lt;数&gt;不等式
parasite	n. 寄生虫,寄生生物，食客
deliberate	adj. 故意的,深思熟虑的, 从容不迫的 vi. 仔细考虑 vt. 研讨
greenhouse	n. 温室, 暖房
herbicide	n. 除草剂
irrigation	n. 灌溉
deadly	adj. 致命的, 致死的 adv. 非常地, 如死一般地
socially	adv. 在社会上, 在社交上, 亲切地
intensify	vt. 增强(强化,加剧,加厚,增高银影密度)
candle	n. 蜡烛
grid	n.格子，非实质的； 地图上的坐标方格； （输电线路、天然气管道等的）系统网络
canvas	n. 帆布，（帆布）画布，油画
symbolic	n. 代号 adj. 象征的, 符号的
renewal	n. 更新, 革新, 复兴, 复活
shrine	n. 圣地, 神龛, 庙 v. 将...置于神龛内，把...奉为神圣
repetition	n. 重复,反复
wolf	n. 狼
thrive	vi. 兴旺,繁荣
stressful	adj. 紧张的, 压力重的
tribal	adj. 部落的, 种族的
disguise	n. 假面目,伪装物,假装 vt. 假装,假扮,掩饰
seasonal	adj. 季节的, 依照季节的, 周期性的
arbitrary	adj. 任意的, 专制的, 武断的, 霸道的
disagreement	n. 不合, 争论, 不一致
juvenile	adj. 年轻的,青少年的,幼稚的 n. 青少年,青少年读物,幼雏,扮演少年的演员
substantive	adj. 独立的,真实的,持久的,本质的,名词性的,大量的,规定义务与责任的,实质的 n. 作名词用的词或词组
substrate	n. 基片(基层, 真晶格, 基质) n. 衬底
sneeze	n. 喷嚏 vi. 打喷嚏
displace	v. 移置, 替换
worthwhile	adj. 值得(做)的
diversify	v. 使成形形色色, 使多样化, 使变化
sodium	n. 钠
workforce	n. 劳动力, 工人总数, 职工总数
