responsible	adj. 有责任的,负责的,责任重大的,应负责的
formula	n. 公式,配方,规则；代乳品 adj. （赛车的）级的，方程式的
previously	adv. 以前(预先)
image	n. 图像,影像,肖像,想像,形象 vt. 想像,描绘,反映
corporate	adj.社团的, 法人的, 共同的, 全体的
immediate	adj. 立即的, 即刻的, 直接的, 最接近的
likely	adj. 可能的,合适的,可信的,有前途的,有吸引力的 adv. 很可能
imply	vt. 暗示,意味
prisoner	n. 囚犯
angry	adj. 生气的,伤口红肿的
common	adj. 共同的, 平常的, 普通的 n. 平民, 普通, 公地, 公园
medical	adj. 医疗的,医学的,药物的,需治疗的
observe	v. 观察, 遵守, 注意到
presidential	adj. 总统的
obtain	vt. 获得, 得到 vi. 通用, 流行, 存在
obviously	adv. 显然地
due	adj.由于； 适当的； 预定； 到期 n.应有的权利； 应得到的东西； 应缴款 adv.正向； 正对着
competition	n. 比赛,竞争
friendly	adj. 友好的 adv. 友好地 n. 友好者
promise	n. 诺言, 约定, (有)希望，预示 v. 允诺, 约定, 预示, 有可能
suffer	vt. 遭受,忍受,允许 vi. 忍受,经历
sufficient	adj. 足够的, 充分的
frequently	adv. 经常地, 频繁地
ear	n. 耳朵, 听觉, 倾听, 麦穗 vi. 长出麦穗
supplier	n. 供应者, 供应厂商, 供应国
locate	vt. 找出,设于,位于,建立 vi. 建立
budget	n. 预算 vt. 编预算,为…做预算 vi. 节省开支 adj. 不贵的，廉价的
earn	vt. 赚得, 赢得, 生利
fundamental	adj. 基本的,根本的,重要的 n. 基本原理,基础
earth	n. 地球,泥土,世间,大地,地球人 vt. 赶入洞中,提取土壤 vi. 躲入洞穴
conclude	vt. 使结束, 缔结, 断定, 得出结论 vi. 结束, 作出决定
usual	adj. 通常的
edge	n. 边,边缘,刀口 vt. 给...加上边,缓慢横过,使逐渐丧失 vi. 徐徐前进
garden	n. 花园, 果园, 菜园, 草地 vi. 栽培花木, 从事园艺工作 vt. 造园, 以花园装饰 adj.花园的, 园艺的, 绿化的, 平凡的
surprise	n. 惊奇, 使惊讶的人或事物 vt. &vi. 使惊奇, 突击, 逮捕
sentence	n. 句子,意见,宣判,刑罚,命题 vt. 宣判,判决,使遭受
egg	n. 蛋; (俚语)人
eight	num. 八 pron. 八(个,只...)
beer	n. 啤酒
boundary	n. 分界线, 边界
consideration	n. 考虑, 体贴, 考虑因素, 敬重, 意见
belief	n. 相信, 信念, 信仰
beauty	n. 美,美丽,美人,美的东西
achieve	vt. 完成,达到,实现 vi. 达到目的
baby	adj. (形容用法)婴儿的, 过小的 n. 婴儿, 象婴儿的人, 需特殊关心的事物 vt. 溺爱, 过度关心
overall	adj. 全部的, 全体的, 一切在内的 adv. 总的来说, 全部地 n. 防护服，罩衫
settlement	[建]沉降; 解决, 结算,殖民(地), 租界; 居留地; 新建区; 住宅区
victory	n. 胜利
personally	adv. 亲自地, 以个人, 就自己而言
recognition	n. 认出,承认, 感知，知识
operate	vi. 操作, 运转 vt. 起作用, 动手术
encourage	v. 鼓励,激励,支持 vt. 鼓励
hardly	adv. 几乎不
minimum	adj. 最低的, 最小的 n. 最小量, 最低限度
majority	n.多数； （获胜的）票数； 成年； 法定年龄
option	n.选择（的自由）； 选项； 选择权； 选择能力 vt.得到或获准进行选择； 调动球员
agency	n. 代理,代理处,政府机构
race	n. 种族, 赛跑 v. 赛跑, 竞赛 n. 人种；种族
correct	adj. 正确的 v. 改正,纠正 vt. 改正
shift	n. 交换,变化,移动,接班者 vt. 更替,移转,变声 vi. 改变,定责,更衣
enormous	adj. 巨大的, 庞大的
sir	n. 先生
county	n. 郡, 县
couple	n. 对, 夫妇, 数个 v. 加倍, 成双, 连结
double	n. 两倍,复制品,替身,双重角色的演员,反转,双人房 adj. 两倍的,双重的,骗人的,加量的 adv. 两倍地,双人地,翻来覆去地,对折地 vt. 使加倍,对折,握紧,做替身 vi. 加倍,转身,兼任,替代演出
environment	n. 环境,外界
equal	adj. 相等的,平等的,胜任的 n. 对手,匹敌,同辈 vt. 等于,比得上
handle	n. 柄,把手 vt. 买卖,处理,操作 vi. 驾驭
rare	adj. 稀罕的, 罕见的, 珍贵的
wash	v. 洗, 洗涤, 洗清 n. 洗, 洗濯
crack	vt.破裂，打开； （使…）开裂； 说（笑话）； 开瓶 vi.断裂，折断； 碎裂声，爆裂声； 镜子破裂了； 失去控制，衰退 n.裂缝； 试图； 缝隙； （可听到响声的）重击 adj.训练有素的； 技艺高超的； 优秀的； 一流的
square	n. 正方形,街区,平方，广场 adj. 正方形的,正直的,公正的,结实的 vt. 使...成方形,调整，一致 vi. 符合 adv. 成直角,直接的,正方形地
red	adj. 红色的 n. 红色
amaze	v. 使吃惊
proportion	n. 比例,均衡,部份 vt. 使成比例,使均衡,分摊
establish	v. 建立, 确立, 创办
weak	adj. 不充分的, 淡薄的, 弱的, 虚弱的, 无力的
estimate	n. 估计, 估价 v. 估计, 估价, 评价
crime	n. 犯罪, 羞耻, 罪行
screen	n.屏幕； 银幕； 屏风 vt.筛（煤、矿石等）； 拍摄； 放映（电影）； 庇护
site	n. 位置,场所 v. 使...位于,使...放置
wet	adj. 湿的,雨天的 n. 潮气,雨天 vt.& vi. (使)弄湿
inside	adj. 里面的 adv. 在里面 n. 内部 prep. 在...里面
outline	n. 大纲,轮廓,概要,略图,素描 vt. 描画轮廓,描述要点
consumer	n. 消费者,用户, 消费品
inspire	vt. 影响，使...感动, 激发，煽动 vi. 吸入
guy	n. (男)人,家伙,拉索 vt. 嘲笑
weight	n. 重量,体重,重担 vt. 使...负重, 使倾斜
welcome	vt.欢迎； 乐于接受 adj.受欢迎的； 令人愉悦的； 表示感谢的 n.欢迎，迎接
master	n. 主人, 硕士, 母机 adj. 主人的, 主要的 v. 征服, 控制, 精通
west	adj. 西方的 adv. 向(在)西方 n. 西, 西方
instrument	n. 乐器, 工具, 仪器, 器械
temperature	n. 温度,发烧
appeal	n. 恳求, 上诉, 吸引力 n. 诉诸裁决 v. 求助, 诉请, 呼吁; 有吸引力
reduction	n. 减少,缩小, (化学)还原反应, (数学)约分
except	vt. 除,除外 prep.&conj. 除了...之外,若不是,除非
attack	vt.& vi.攻击，进攻，抨击 n.攻击； 抨击； （队员等的）进攻； （疾病）侵袭 vt.抨击； 非难； 侵袭； 损害
whenever	adv. 无论何时 conj. 每当, 无论何时, 随时
pack	n. 包裹,一群,一副,一帮,一群 vt. 包装,捆扎,塞满, 收拾行李， 佩戴 vi. 包装，（用某物）保存，保藏 ,塞进
meal	n. 膳食,一餐,谷物粗粉 vi. 进餐
variable	adj. 可变的,易变的 n. 变量, 易变的东西
grand	adj. 豪华的,宏伟的,壮丽的,主要的,重大的 n. (美俚)一千美元
refuse	n.废物,垃圾 vt. &vi. 拒绝 adj. 无用的
exercise	n. 练习,作业,运动 vt. 运用 vi. 锻炼
currently	adv. 现在，现时，目前，当前
international	adj. 国际的 n. 国际组织
arise	vi. 上升,引起,出现
damage	n. (pl.)赔偿金,损坏,毁坏 vt. 损害,毁坏
arrest	n. 逮捕,监禁 vt. 拘捕,妨碍,吸引
introduction	n. 介绍, 引进, 导论, 序言
expensive	adj. 昂贵的,豪华的
calm	n. 平稳,风平浪静 adj. 平静的,冷静的 vt.&vi. 平静下来,镇静
appointment	n. 约会, 预约, 任命, 委派, 官职, 设备
relationship	n. 关系, 关联
provision	n. 规定, 条款; 供应(品); 预备 n. (pl.) 食物 vt. 向...供应食物
partly	adv. 在一定程度上，部分地，不完全地
finger	n. 手指,指针 vt. 用手指触碰（演奏），（用手）指， vi. 触摸，用手指演奏乐器，
actor	n. 男演员
winter	n. 冬天,年,萧条期 adj. 冬天的,冬季生长的 vt.& vi. 过冬
expression	n. 表达,表示,表现,表情,措辞,词句
thin	adj. 瘦的,稀少的 adv. 薄,细,瘦,稀薄(的) vt.& vi. (使)变薄
fan	n. 风扇,扇形物,狂热者 vt. 风选,煽,吹,煽动,向扇子一样展开 vi. 像扇子一样行动,鱼贯而出
message	n. 消息,信息,要点 vt. &vi. 传递信息, 通讯
metal	n. 金属,质料 adj. 金属制的 v. 以金属覆盖
guilty	adj. 有罪的, 内疚的
capture	n. 抓取,战利品,捕获之物 vt. 抓取,获得,迷住
hall	n. 大厅, 礼堂
joint	adj. 联合的, 共同的 n. 关节, 接合处 v. 连接, 贴合
threat	n. 威胁, 凶兆
preserve	vt.保护； 保持，保存； 腌制食物； 防腐处理 vi.保鲜； 保持原状； 做蜜饯； 禁猎 n.蜜饯； 防护用品； 禁猎地； 独占的事物（或范围）
journalist	n. 记者, 新闻工作者
faith	n. 信任,信仰
peace	n. 和平,安静
peak	n. 山顶,顶点,帽舌 vi. 到达高点,消瘦 vt. 使到达顶峰,竖起 adj. 处于顶峰状态的
cash	n. 现金 vt. 兑现,付现款 adj. 现金的
legislation	n. 立法, 法律
aircraft	n. 飞机
reserve	n. 预备品, 贮存, 候补 n. 克制, 含蓄 vt. 保留, 预订, 延期
somebody	pron. 某人, 有人 n. 重要人物
temporary	adj. 暂时的,临时的 n. 临时工
thus	adv. 如此,这样,因此,从而 conj. 因此,于是
bike	n. 脚踏车
grateful	adj. 感激的, 感谢的
perform	v. 执行, 表演, 做
modern	adj. 现代的,时髦的 n. 现代人,时尚人士
till	conj. 直到(...为止) n. (账台中)放钱的抽屉 prep. 直到 pron. 直到...为止,直到 vt. 耕种
respond	vi. &vt. 回复,反应，响应，应答 n. 拱柱
equally	adv. 相等地, 同样地, 平等地
software	n. 软件
tip	n. 顶, 尖端, 小费，指点 v. 提出建议或意见, 倾斜, 给小费, 轻触
perspective	n. 远景, 看法, 透视 adj. 透视的
persuade	v. 说服 vt. 劝说,说服
despite	prep. 不管, 尽管 v.憎恨, 轻视
abuse	n.滥用； 恶习； 侮辱； 恶言 vt.滥用； 虐待； 辱骂
retain	vt. 保持, 保留; 记住
fat	adj. 肥胖的,厚的,大的,大量的,丰厚的,愚蠢的 n. 脂肪,动植物油,精华,肥胖,过剩 vt. 使变胖 vi. 变胖
scale	n. 鳞, 刻度, 衡量, 数值范围 v. 依比例决定, 攀登
career	n. 生涯, 职业, 事业 vi. 猛冲, 飞跑 vt. 在...中急行
character	n. 个性, 品质; 字符; 人物; 名誉; 地位
tonight	n.&amp;adv. 今晚
ride	n. 乘坐,乘车,搭便车 vt. &vi. 骑,乘坐,经受住
fellow	n. 朋友,家伙,同类,校董,研究生 adj. 同类的,同事的,同伴的
kiss	vt.接吻； 轻拂； 轻微碰撞 vi.接吻； 轻触 n.吻； 轻触； 小糖果； 蛋白甜饼，球形饼干
speed	n. 速度,迅速,感光度,超速 vt. 加速,催促,促进 vi. 超速,加速,进展
massive	adj. 巨大的, 大规模的, 大量的, 大范围的
heat	n.热，热度，高温； 热烈，激烈； （身体的）发烧，发热； 发情 vt.&vi.使温暖，使热； 激发…的感情，使兴奋
muscle	n. 肌肉 vt. 用力挤 vi. 用力进行
sad	adj. 悲哀的, 伤心的, 不能令人满意的
aware	adj. 知道的, 意识到的
label	n.标签； 称标记，符号； [建] 门或窗户上面的线脚 vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪
plastic	adj. 塑料的, 可塑的, 体态好的 n. 塑料,(外科)整形的,信用卡
rock	n. 岩石, 巨石, 摇滚乐, 篮球 vt. 摇动, 使震惊, 使动心 vi. 来回摇动, 跳摇摆舞
transfer	n. 迁移, 移动, 换车 v. 转移, 调转, 调任
highly	adj. 十分敬仰的 adv. 高度地,很,非常
civil	adj. 国内的,公民的,文明的, 有礼貌的, 民用的
pocket	n. 口袋,钱,袋 vt. 装...在口袋里,隐藏,私吞 adj. 小型的,钱的
sheet	n. 床单,张,片 vt. 盖上被单,遍布, 使成片状 vi. 成片落下或流动 adj. 片状的
hit	n. 打(击),冲撞,讽刺,成功.一次毒品的剂量,点击量 vt. 打(击),碰撞,偶然发现,要求,符合 vi. 打(击),袭击,达到
row	n. 排,船游,吵闹 vt. 划船,成排 vi. 划船,吵架
politics	n. 政治,政策,政治活动,政见
flat	adj. 平坦的, 单调的, 扁平的 adv. 平直地, 干脆地 n. [英]公寓 vt. 变平 vi. 降调
quarter	n. 四分之一, 一刻钟, 季度, 25美分 vt. 四等分 vi. 住宿, 驻扎 adj. 四分之一的
constantly	adv. 不断地,经常地
therefore	adv. 因此, 所以
truly	adv. 真实地, 不假
leadership	n. 领导, 领导才干
truth	n. 事实,确实,真理,现实
closely	adv. 紧密地，接近地，严密地
clearly	adv. 清楚地
possibly	adv. 可能地, 也许
rural	adj. 农村的
hospital	n. 医院
host	n.[计算机]主机； 主人，东道主； 节目主持人； 酒店业主 vt.当主人； 主办宴会，主持节目； 款待，做东 vi.做主人，做东道主
obligation	n. 义务, 责任
household	adj. 家庭的, 家喻户晓的 n. 家庭, 户
collapse	n. 崩溃,倒塌,暴跌 vi. 倒塌,崩溃,瓦解,折叠 vt. 倒塌,缩减
stuff	n. 材料, 原料, 东西 n. 素质, 本质; 废物 vt. 填满, 塞满
length	n. 长度,篇幅
stock	n.股份，股票； 库存； 树干； 家畜 adj.常备的，存货的； 陈旧的 vt.提供货物； 备有 vi.出新芽； 囤积
advance	n. 前进,进步,预支 vt. 前进，增涨，预先 vi. 前进，提升 adj. 预先的，提前的
advantage	n. 优势,有利条件 vt. 有利于
stone	n.石头； 宝石； 矿石； （膀胱或肾脏中的）结石 vt.向扔石块； 用石头铺； 以石掷向； 除（水果的）硬核 adj.石制的； 石头似的； [S-]石器时代的； 粗陶制的 adv.石一般的
predict	v. 预知, 预言, 预报
dozen	n. (一)打,十二个 adj. 一打的, 十二个的
manner	n. 样子,礼貌,风格,方式
agreement	n. 同意, 一致, 协议
save	vt.节省； 保存； 储蓄； 解救 vi.节省； 挽救； 救球 prep.&conj.除…之外 n.救援，救援
president	n. (国家)总统,(公司)总裁,总经理,社长(日本)
pressure	n. 压力, 压强, 压迫
manufacturer	n. 制造商
former	adj. 以前的,在前的 pron.&amp;n. 前者
kid	n. 小孩, 小山羊, 小山羊皮制品 vi. (山羊,羚羊)生幼崽, 玩恶作剧 vt. 开玩笑, 哄骗, 嘲弄 adj. 相对年幼的
lift	vt. 举起；提升；鼓舞；空运；抄袭 vi. 消散；升起；耸立 n. 电梯；举起；起重机；搭车
candidate	n. 候选人, 求职者
string	n. 线,一串,字串 vt. 串起,成串,收紧, 悬挂；系；扎 vi. 给…装弦 adj. 线的
primarily	adv. 首先, 主要地
drink	n. 饮料 vt. &vi. 喝,喝酒
prime	adj. 最初的,首要的,最好的，典型的 n. 青春,壮年,全盛时期 vt. 事先指点,在（金属、木材等上）打底漆 vi. 变得首要
strongly	adv. 强有力地，坚固地, 坚强地, 激烈地
principal	adj. 主要的 n. 负责人, 校长, 资本
implication	n. 暗示,含意
commercial	adj. 商业的 n. 商业广告
commission	n. 委任(状), 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任, 委托; 使服役
impression	n. 印象, 效果
objective	adj. 客观的, 目标的 n. 目标, 目的; 物镜 n. =objective case 宾语
fly	n. 苍蝇,两翼昆虫,飞行,升高 vt. &vi. 飞,飞翔,逃走,飞逝,猛然移动
billion	n. 十亿,大量 adj. 大量的
capital	n. 首都,资本,大写字母 adj. 大写的,资本的，首要的
apart	adv. 分别地,分开地，有区别地 adj. 分开的，分离的
professional	adj. 职业(上)的,专业的 n. 专业人员
successful	adj. 成功的,达到目的的
complete	adj. 彻底的, 完整的, 已完成的 vt. 完成; 使圆满, 使完美
complex	adj. 复杂的 n. 复合体
sudden	n. 突然, 忽然 adj. 突然的, 快速的
blame	n. 过失,责备 vt.把...归咎于,责备
silence	n. 沉默,寂静 v. 使沉默,使安静 vt. 使安静,使沉默
fuel	n. 燃料,木炭 vt. 供以燃料 vi. 加燃料
medicine	n. 药, 医学
association	n. 联合,结合,交往,协会,社团,联想
sun	n. 太阳,阳光,中心人物,像太阳般的东西 vt.& vi. 晒太阳
boat	n. 船, 船型物体 vt. 放于船上 vi. 划船
conference	n. 会议
useful	adj. 有用的
wing	n. 翅膀,翼 vt. 给...装上翼,飞行 vi. 飞行
thirty	num. 三十
survive	vt. 比…活得长,幸免于难,艰难度过 vi. 活着, 继续存在
belong	vi. 属于，适合于
accommodation	n. 住处，膳宿；调节；和解；预订铺位
pupil	n. 瞳孔,学生,小学生
various	adj. 各种各样的
category	n. 种类, 类别
vehicle	n. 传播媒介, 工具, 手段, 交通工具, 车辆;
constant	adj. 经常的, 不变的 n. 常数, 恒量
construction	n. 建设，建造，结构，构造
total	adj.总计的（金额等）； 全部的； 完全的； 绝对的 n.总计，总数； 全体数量 vt.& vi.总计达，计算…的总数
contain	vt. 包含,容纳,克制,抑制 vi. 自制
elsewhere	adv. 在别处, 到别处
chip	n. 薄片,碎屑，芯片 vt. 削,切,削成碎片 vi. 折断成碎片
lucky	adj. 幸运的,带来好运的
quality	n. 品质, 特质, 才能 adj. 高品质的
employment	n. 工作,职业,雇用,使用
suddenly	adv. 突然地
visitor	n. 参观者, 访问者，访客
shape	n. 形状,形式,定形,身材 vt. 定形,使...成形,塑造
vital	adj. 至关重要的, 生死攸关的, 有活力的, 充满生机的
bus	n. 公共汽车
single	adj. 单身的,单纯的,单一的 n. 单程票,单曲,单人房,单身者 vt. 单独挑出 vi. (棒球)作一垒打
neighborhood	n. 附近,邻近,邻居
incident	n. 事件,（常指）军事冲突, 插曲，事变 adj. 难免的，附带的，(物理)入射的
broad	adj.宽阔的； 广泛的； 概括的； 明显的 n.婆娘
ordinary	adj. 普通的
shock	n. 震动,冲突,震惊,休克 vt. &vi.震动,冲突,使...受电击
enter	vi. 进入,参加,开始,上台,进入角色 vt. 进入,报名,开始,加入,报价,提出 [计算机] 送入
index	n.索引； <数>指数； 指示； 标志 vt.给…编索引； 把…编入索引； [经济学]按生活指数调整（工资、价格等） vi.[机械学]转位
entry	n. 进入,入口,登记,项目
range	n.范围； 射程； 类别； （山脉，房屋等的）排列 vi.搜索； 变化； 延伸； 漫游 vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 adj.牧场的，放牧区的
rent	n. 租金 v. 租 vi. 出租 vt. 出租,租用
warn	vt. 警告,注意,远离 vi. 提醒
implement	n. 工具, 器具; 当工具的物品 vt. 实施, 执行; 向...提供工具(或手段)
escape	n. 逃亡,避难设备 vt. &vi. 逃脱,避开 adj. 逃避的
tall	adj. 高的
inform	vt.通知； 使活跃，使充满； 预示 vi.通知； 告发
manager	n. 经理
profile	n.侧面，半面； 外形，轮廓； [航]翼型； 人物简介 vt.描…的轮廓； 给…画侧面图； 为（某人）写传略； [机]铣出…的轮廓
busy	adj. 忙的,杂乱的 vt. 使忙于 vi. 忙
mom	n. 妈妈 abbr. 月中(=middle of month)
reaction	n. 反应,反作用力,化学反应
outcome	n. 结果
teach	vt. 教,教书,教导，教训 vi. 给予指导
energy	n. 活力,精力,能力,能,能量
panel	n.镶板； 面； （门、墙等上面的）嵌板； 控制板 vt.选定（陪审团）； 把…分格； 在…上置鞍垫； 把…镶入框架内
wear	n. 穿著,磨损,耐久性 vt. 穿著,用旧,耗损,呈现 vi. 磨损, 变旧
announce	vi.宣布参加竞选； 当播音员 vt.宣布； 述说； 声称； 预告
simply	adv.&amp;adj. 简单地,仅仅
recent	adj. 近来的, 新近的
unlike	adj. 不同的, 不相似的 prep. 不像, 和...不同
mass	n. 块,大量,众多 adj. 群众的,大规模的 v. 集中 n. pl. 群众，民众
anybody	n. 重要人物 pron. 任何人
institution	n. 机构,惯例,创立
culture	n. 文化,教养,种植 vt. 培养
sink	n. 接收端,沟渠,污水槽,散热器 vi. 下沉,下落,陷于,倾斜,恶化,渗透 vt. 下沉,陷于,倾斜,减少
insurance	n. 保险
owner	n. 所有人, 物主
traffic	n.交通，运输量； （非法的）交易； 通信量； 交际 vt.用…作交换； 在…通行 vi.交易； 买卖
maximum	n. 极点, 最大量, 极大 adj. 最高的, 最大极限的
taste	n. 味道,品味,味觉,尝试 vt. 尝到甜头, 尝试, 有...味道的 vi. 品尝, 体验
tend	vt.照料，照顾； 护理； 照管，管理 vi.倾向（于），趋向（于）； 伺侯，招待； 关心； 注意
package	n. 包裹,整批交易 vt. 把...打包,把...进行推销
skill	n. 技能, 技巧
appropriate	adj. 适当的, 相称的 vt. 拨出(款项); 占用
exhibition	n. 展览,展览会
wide	adj. 广泛的,宽阔的 adv. 广大地,全部地
slide	n. 滑,幻灯片,雪崩,山崩,滑坡,滑梯 vt. 使滑 vi. 滑,跌落
experiment	n. 实验,试验,尝试 vi. 做实验,尝试
camp	n. 露营,帐棚,训练营,做作 vt. &vi. 露营,扎营,做作 adj. 做作的
investment	n. 投资,投入,投资额
advice	n. 忠告，建议，劝告
dead	adj. 死的,萧条的,精疲力竭的,用完的,无趣的 adv. 完全地,突然地,直接地 n. 死者,死
ground	n. 土地,战场,场地,根据,背景 vt. 放在地上,使...搁浅,打基础 grind的过去式和过去分词
excellent	adj. 极好的,优秀的
smart	adj. 聪明的,时髦的,漂亮的,敏捷的,轻快的,整洁的 vi. 刺痛,难过,烦恼 n. 刺痛,苦恼 adv. 轻快地,,机灵地,整齐地,漂亮地; v. 感到剧烈刺痛，（因批评、失败等）难过，烦恼
gift	n. 礼物,天赋,赋予 vt. 赠送,赋予
relax	vi. 放松,松懈,松弛 vt. 放松,放宽(限制等)
item	n. 项目,条款， 一件商品（或物品） adv. 也
guess	n. 猜测,推测,猜想 vt. &vi. 猜测,推测
meter	n. 公尺,韵律,计量器 vt. 用表测量[计量, 记录]
capable	adj. 有能力的，足以胜任的, 有...倾向的
remind	v. 提醒 vt. 使想起,提醒
aspect	n. 方面, 外貌, 外观; 方位, 方向
ideal	adj. 理想的, 完美的, 高尚的 n. 理想, 典范, 目标
assess	v. 估定, 评定
mile	n. 英里,大量,海里,一英里赛跑
assist	n. 帮助,协助,协助的器械 vt. 帮助,协助 vi. 帮助,协助,出席
assistant	adj. 助理的；辅助的。 n. 助手助理；助教，店员
thousand	adj. 千,成千
definition	n. 定义, 阐释，清晰度
miss	n.（用于姓名或姓之前，对未婚女子的称呼）小姐； 女士； 失误 v.漏掉； 错过（机会）； 思念； 没遇到
demand	n. 要求; 需求 v. 要求, 查问; 需要
familiar	adj. 熟悉的,熟知的,不拘礼节的 n. 熟人,熟悉某种事物的人
catch	n. 捕捉,陷阱,捕获物,接(球等),扣栓物,隐患 vt. 抓住；赶上,了解,感染,被钩住,击中,察觉 vi. 抓住，燃着
mix	n. 混合(物),融合 vt. &vi. 混合,掺入,合成,交往,联系 [计算机] 混合
worth	adj.值得的； 有…的价值； 等值的； 有…的财产 n.财富，财产； 价
resolve	n. 决定之事,决心,坚决 vt. 决定,解决,分离,表决 vi. 分离,决定
somewhat	adv.稍微； 有点； 达到某种程度 n.少量； 某些数量； 某种程度
permanent	adj. 永久的, 持久的 n. (口)烫发
son	n. 儿子
farmer	n. 农夫
permit	n. 许可证,执照 vt. &vi. 允许,许可
writer	n. 作者, 作家
assume	vt. 假定, 设想, 承担; (想当然的)认为
fish	n. 鱼，鱼肉 v. 钓鱼，捕鱼
acquisition	n.获得； 购置物； 获得物； 收购
dominate	v. 支配, 占优势，俯视
determine	vt.& vi.（使）下决心，（使）做出决定 vt.决定，确定； 判定，判决； 使决定； 限定 vi.[主用于法律]了结，终止，结束
gate	n. 大门
challenge	n.挑战； 盘问； 质疑； 怀疑 vt.质疑； 向…挑战 vi.提出挑战，要求竞赛（或竞争）； 驳斥
spare	adj. 多余的, 闲置的, 备用的, 简陋的 v. 抽出，饶恕，赦免，节约 n. 剩余, 备用品
map	n. 地图 v. 映射,绘制...之地图,计划 [计算机] 存储区分配图
yourself	pron. 你(们)自己, 你(们)亲自
youth	n. 年轻人, 年轻
piece	n. 块,片,篇 vt. 修补,结合
speech	n. 演讲,对话,话语,语言
heart	n. 心,中心,要点,在扑克牌中指红桃 v. 鼓起勇气,激励
authority	n. 权威；权力；当局
murder	n. 谋杀,危险物 vt. 谋杀,折磨,损坏 vi. 谋杀
tour	n. 旅游, 观光旅行, 任期 v. 旅行, 周游
split	n. 劈开, 裂片, 裂口 adj. 分散的 v. 分离, 分开, 劈开
ourselves	pron. 我们自己
sport	n. 运动,游戏,娱乐,玩笑,大度的人 adj. 运动的,休闲的 vt. &vi. 游戏,戏弄,炫耀
tradition	n. 传统, 惯例
lake	n. 湖
national	adj. 国家的,民族的 n. 国民
finish	n. 完成,最后加工,结局,完美 vt. 结束,获...第几名 vi. 终结,完成
accompany	vt. 陪伴, 伴随，给...伴奏 vi. 伴奏
bind	vt. 绑,约束,装订,粘合
transport	n.运输、运输工具；(常用复数）强烈的情绪、狂喜或狂怒 vt. 运输；流放；为强烈的情绪所激动
roof	n. 屋顶, 顶盖 vt. 给...覆以屋顶,覆盖
display	n. 显示,陈列,炫耀 vt. 显示,表现,夸示
fix	vt. &vi. 使...固定,修理,准备 n. 困境, (船只、飞机等的)定方位,贿赂
star	n. 星, 明星 v. 以星状物装饰, 变成演员
network	n. 网络,系统,广播网 vt. 用网覆盖,联网 vi. 加入网络
flight	n.（物体的）飞行； 航班； 飞翔； 楼梯的一段 vi.成群地迁徙或飞行 vt.射击； 使惊飞
popular	adj. 大众的,流行的,有销路的
wage	n. 薪水,报偿,代价 vt. &vi. 开始,进行（战争、运动）
terrorist	n. 恐怖分子
negotiation	n. 谈判, 协商
steal	vt.偷； 悄悄地做，悄悄地走； 潜行； 不正当的获得 vi.偷； 偷偷地行动：秘密、不显明地行动、发生或消失； [棒球]偷垒 n.偷窃； 便宜货； 便宜货
rush	vi.（使）急速行进，仓促完成； 猛攻； 急速流动，奔腾 vt.突袭； （使）仓促行事； 催促； （为物色、招募目的）特别关注 n.冲； 匆忙； 繁忙的活动； 涌动
management	n. 管理(层),经营,处理
pursue	v. 追捕, 追求, 继续从事
smell	n. 味道,气味,嗅 vt. 闻,探出,发臭 vi. 闻,发臭
borrow	v. 借, 借入, 借用
leg	n. 腿, 支柱, 裤脚管 vi. 用脚走路
powerful	adj. 强有力的
collect	vt.收集； 收藏； 接走； 聚积 vi.募捐； 募集 adj.由受话人付费的
huge	adj. 巨大的,程度高的
negotiate	vt. 转让,越过,处理,协商 vi. 协商
fairly	adj. 公平地, 相当 adv. 相当地
salary	n. 薪水 vt. 给...薪水
score	n.得分； 分数； 总谱； 20个 v.得分； 记分； 评分； 获得胜利
twice	adv. 两倍, 两次
northern	adj. 北部的, 北方的
ice	n. 冰, 矜持 v. 冰冻, 结冰
liberal	n. 自由主义者, 宽容大度的人, (Liberal)自由党人 adj. 无偏见的, 慷慨的, 不拘泥的, 宽大的, 开明的
ultimately	adv. 最后,最终
lie	n. 谎言 v. 躺着, 说谎, 位于
stream	n. (人,车,气)流,水流,组 vt. 流出,飘动 vi. 流动,飘动,接踵而来
street	n. 街道 adj. 街道的
illness	n. 病, 疾病
remark	n. 备注,评论,注意 vt. 评论,注意,述及
novel	adj. 新奇的 n. 小说
benefit	n. 利益, 津贴; 义卖, 义演 vt. 有益于 vi. 得益
witness	vt. 目击,见证, 出席, 观察, 经历 n. 目击者,证人 vi. 为(宗教信仰)做见证, 证明
science	n. 科学
private	adj. 私人的，隐蔽的 n. 士兵，列兵
impossible	adj. 不可能的
prize	n. 奖品,珍品,战利品 vt. 重视 adj. 奖励的,杰出的
procedure	n. 程序, 手续, 步骤; 常规的做法
weather	n. 天气,气候,气象 vt. (因受风吹,日晒,雨淋等,使)褪色, 平安度过 vi. 变色,变形, 经受住(困难) adj. 天气预报的, 上风的
compare	vt.&vi. 比较,比喻,对照 n. 比较，对照
bird	n. 鸟,家禽,陶土飞靶,伙伴 vi. 观察或辨认鸟
unless	conj. 除非 prep. 除...外
succeed	vt. 成功,继承,继续 vi. 接替,有作为
success	n. 成功,发财，胜利，成功者，成功的事物
